Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
20-Jul-11,707,709,692.95,695.45,700.9699794,58793,1662,41212128,16.05,-11.55
21-Jul-11,694.05,701,692,696.65,697.0552426,33199,1144,23141537,9,2.6
22-Jul-11,705.9,712.1,699.55,706.05,707.5299651,135758,3023,96052853,12.55,0.15
25-Jul-11,706,708.9,696.1,707,703.5553084,139346,2079,98037618,12.8,1
26-Jul-11,708,713.85,687.3,694.1,694.955242,87314,2813,60679322,26.55,-13.9
27-Jul-11,694,705.4,687,703.3,698.4541876,134658,2801,94052444,18.4,9.3
28-Jul-11,699,699,685,688,691.3725855,40278,1614,27847105,14,-11
29-Jul-11,688,692.45,676.15,688.5,685.582125,79519,2773,54516805,16.3,0.5
1-Aug-11,697.95,706.5,691.1,695.2,700.5512221,104203,2356,72999539,15.4,-2.75
2-Aug-11,691,692.3,683.2,684.7,687.4563384,52529,1694,36111394,9.1,-6.3
3-Aug-11,680,684.25,676.6,679.8,680.0658397,128661,2181,87497951,7.65,-0.2
4-Aug-11,685.2,695.4,674,676.3,684.6027339,59036,1565,40416207,21.4,-8.9
5-Aug-11,664,673.85,660,666.6,666.8779533,155334,3567,103588820,13.85,2.6
8-Aug-11,658,667.05,644.25,647.55,652.584775,194049,4773,126633423,22.8,-10.45
9-Aug-11,629,664.5,624.5,660.6,644.5315897,183256,4544,118114281,40,31.6
10-Aug-11,674,674,660,666.35,665.8995162,192847,4450,128416724,14,-7.65
11-Aug-11,666,686.85,663.55,681.95,680.033569,152641,4133,103801004,23.3,15.95
12-Aug-11,690,690,663.25,670,674.1355996,102869,3252,69347655,26.75,-20
16-Aug-11,672,679.65,644,646.55,657.2941735,92680,2767,60918024,35.65,-25.45
17-Aug-11,650,670,645.45,659.9,661.4095868,98907,2359,65418038,24.55,9.9
18-Aug-11,660,668,636.9,640.45,646.0865852,107247,3083,69290848,31.1,-19.55
19-Aug-11,635,644.35,628,638.8,637.6058523,147975,4460,94349726,16.35,3.8
22-Aug-11,640.8,648.4,638.1,643,643.0258292,64191,1913,41276471,10.3,2.2
23-Aug-11,648,650,632.05,645.25,641.8263443,177875,2977,114164861,17.95,-2.75
24-Aug-11,640,657.85,640,645.95,647.3038482,172573,2964,111707167,17.85,5.95
25-Aug-11,650,650,624.5,628.85,634.4457498,117723,3308,74688857,25.5,-21.15
26-Aug-11,632,638.45,612.4,621.4,622.5390551,322583,4783,200820516,26.05,-10.6
29-Aug-11,633,650,627.05,645.5,640.5588962,112053,3006,71776546,22.95,12.5
30-Aug-11,650,665.6,650,662.9,659.1063586,110795,3117,73025689,15.6,12.9
2-Sep-11,681,684.75,653.5,659.85,663.3811572,94158,3289,62462643,31.25,-21.15
5-Sep-11,655.25,660.45,641.4,648.9,646.5764665,111186,2738,71890251,19.05,-6.35
6-Sep-11,647,654.8,642,653.5,649.4615042,87555,2305,56863602,12.8,6.5
7-Sep-11,659.9,669.8,658,665.15,665.4505319,206436,3604,137372946,11.8,5.25
8-Sep-11,665,666.95,655.25,659.1,660.7957265,71698,1631,47377732,11.7,-5.9
9-Sep-11,660,670.45,658,660.6,664.7162568,75304,2193,50055793,12.45,0.6
12-Sep-11,655.5,658.55,644.05,651.7,647.3016649,202778,2352,131258537,14.5,-3.8
13-Sep-11,655,664,645.5,647.2,656.0049117,57007,1701,37396872,18.5,-7.8
14-Sep-11,647,649.1,635,644.85,641.4216864,150638,3473,96622480,14.1,-2.15
15-Sep-11,645,662,637,654.9,646.7236503,100912,2831,65262177,25,9.9
16-Sep-11,664,673.75,656,660.45,665.9214068,90504,3071,60268551,17.75,-3.55
19-Sep-11,656.5,659.7,650.75,653.1,653.6793692,35636,1102,23294518,8.95,-3.4
20-Sep-11,654.1,677.5,654.1,675.05,667.5889203,85363,2228,56987393,23.4,20.95
21-Sep-11,676,677.65,665.8,673.9,672.4259364,44401,1444,29856384,11.85,-2.1
22-Sep-11,663,668.7,640.05,644.1,653.5321072,96131,2726,62824695,28.65,-18.9
23-Sep-11,641,641,624.35,625.95,629.7347057,329208,5039,207313703,16.65,-15.05
26-Sep-11,628,629.3,618,622.95,621.8955205,86438,2459,53755405,11.3,-5.05
27-Sep-11,633,646,628,640.55,637.8016597,81098,2534,51724439,18,7.55
28-Sep-11,647,647,632,637.4,637.3242617,134706,1945,85851402,15,-9.6
29-Sep-11,638.3,658.8,638.3,652.8,649.1486841,109050,3527,70789664,20.5,14.5
30-Sep-11,643,653.5,636.3,639.25,646.1279925,96615,2163,62425656,17.2,-3.75
3-Oct-11,633,636.05,617.8,634.2,626.2286848,118237,3176,74043401,18.25,1.2
4-Oct-11,633.4,635,617.5,621.05,627.6860672,176232,3214,110618371,17.5,-12.35
5-Oct-11,630,639.2,621.25,627.8,631.3124699,122431,3219,77292217,17.95,-2.2
7-Oct-11,639,654.75,637,645.1,650.5293607,230427,3422,149899529,17.75,6.1
10-Oct-11,648,664.75,645,661.9,659.1679007,81983,2715,54040562,19.75,13.9
11-Oct-11,666.5,677.7,665,667.6,669.9631633,559931,3198,375133144,12.7,1.1
12-Oct-11,670,672.5,658.35,670.6,665.9572357,53830,2000,35848478,14.15,0.6
13-Oct-11,675,675,662.6,664.3,668.2983806,51193,1645,34212199,12.4,-10.7
14-Oct-11,659.2,669,658,666.35,663.4538033,60881,2055,40391731,11,7.15
17-Oct-11,673,677,665.1,672.65,671.9327465,153702,4897,103277407,11.9,-0.35
18-Oct-11,669,677.7,668.25,672.8,672.74922,120831,2154,81288961,9.45,3.8
