Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
20-July-2011,111.85,113.00,110.10,110.35,111.402959830866807610,7095,254,790404.00,2.90,-1.50
21-July-2011,110.05,113.55,109.50,110.30,110.996617812852311161,20401,534,2264442.00,4.05,0.25
22-July-2011,111.00,115.00,110.55,113.95,113.054150022192632046,20277,522,2292399.00,4.45,2.95
25-July-2011,118.95,118.95,114.40,116.80,115.550909820711800909,29896,443,3454510.00,4.55,-2.15
26-July-2011,118.00,118.00,115.30,117.20,117.451752766325338106,230179,288,27034927.00,2.70,-0.80
27-July-2011,118.40,119.20,117.10,117.70,118.222958514530268516,14487,335,1712696.00,2.10,-0.70
28-July-2011,116.40,117.00,113.25,113.80,114.798336274262667002,7934,243,910810.00,3.75,-2.60
29-July-2011,115.85,116.80,113.20,113.50,114.998822421102213848,8492,281,976570.00,3.60,-2.35
1-August-2011,116.00,116.80,111.00,112.30,112.665099457504520795,8295,312,934557.00,5.80,-3.70
2-August-2011,112.00,113.75,111.10,112.60,112.534090909090909090,5368,165,604083.00,2.65,0.60
3-August-2011,111.00,115.00,111.00,112.85,112.522933011466505733,3314,210,372901.00,4.00,1.85
4-August-2011,117.75,117.75,112.15,113.40,113.644058697208303507,5588,235,635043.00,5.60,-4.35
5-August-2011,112.00,115.00,109.00,112.35,112.394788650839606253,17270,534,1941058.00,6.00,0.35
8-August-2011,110.00,113.00,108.00,112.05,110.258057660976128072,14117,428,1556513.00,5.00,2.05
9-August-2011,109.40,114.10,109.00,112.40,110.987056776158364150,9194,423,1020415.00,5.10,3.00
10-August-2011,113.00,114.00,111.50,112.10,112.399448402666053780,4351,167,489050.00,2.50,-0.90
11-August-2011,113.00,113.40,111.50,111.75,111.872268091306459446,2059,55,230345.00,1.90,-1.25
12-August-2011,112.95,112.95,107.15,109.30,109.956732061273851115,7442,275,818298.00,5.80,-3.65
16-August-2011,110.00,111.40,108.50,109.75,109.967732641889945260,3471,110,381698.00,2.90,-0.25
17-August-2011,111.90,111.90,107.75,108.25,109.246196403872752420,5061,180,552895.00,4.15,-3.65
18-August-2011,109.90,110.50,106.40,109.30,107.863537664940704860,5987,235,645779.00,4.10,-0.60
19-August-2011,107.00,108.00,104.30,105.10,105.948314606741573033,4895,187,518617.00,3.70,-1.90
22-August-2011,109.00,110.10,104.00,107.25,106.226048752834467120,14112,486,1499062.00,6.10,-1.75
23-August-2011,107.00,108.90,104.20,105.65,106.650214592274678111,4194,252,447291.00,4.70,-1.35
24-August-2011,105.15,109.65,105.00,106.90,107.418269843292139126,7849,445,843126.00,4.65,1.75
25-August-2011,108.00,108.90,100.00,102.00,103.669078242229367631,7464,427,773786.00,8.90,-6.00
26-August-2011,103.00,103.95,97.00,99.25,99.662563501367721766,5118,334,510073.00,6.95,-3.75
29-August-2011,101.00,103.50,100.00,102.55,101.707730986800754242,3182,193,323634.00,3.50,1.55
30-August-2011,104.00,110.10,102.00,109.00,106.550417211219463154,9947,509,1059857.00,8.10,5.00
2-September-2011,106.65,109.00,106.60,107.70,107.816973415132924335,1956,95,210890.00,2.40,1.05
5-September-2011,108.00,109.85,106.45,109.00,108.170361726954492415,4285,121,463510.00,3.40,1.00
6-September-2011,108.05,109.45,105.60,106.40,106.751006036217303822,3976,153,424442.00,3.85,-1.65
7-September-2011,107.70,112.00,105.05,106.90,109.613070539419087136,8676,391,951003.00,6.95,-0.80
8-September-2011,107.95,107.95,103.15,104.05,104.871669626998223801,13512,269,1417026.00,4.80,-3.90
9-September-2011,105.00,106.50,103.40,104.55,105.003168202764976958,3472,160,364571.00,3.10,-0.45
12-September-2011,104.00,105.45,102.50,103.00,103.011486923780769684,627322,175,64621372.00,2.95,-1.00
13-September-2011,104.90,106.00,103.90,104.70,104.929194382852919438,6765,352,709846.00,2.10,-0.20
14-September-2011,105.85,106.70,104.20,105.95,105.357629604071422410,11593,229,1221411.00,2.50,0.10
15-September-2011,107.65,107.65,104.50,105.00,105.362927414517096580,1667,69,175640.00,3.15,-2.65
16-September-2011,106.00,106.95,105.00,105.50,105.519350811485642946,801,69,84521.00,1.95,-0.50
19-September-2011,106.45,106.50,103.00,103.80,103.757432620172270075,3599,139,373423.00,3.50,-2.65
20-September-2011,105.80,109.50,104.80,105.45,107.242727655986509274,9488,461,1017519.00,4.70,-0.35
21-September-2011,105.00,108.00,104.20,106.70,106.069469640379895422,9371,148,993977.00,3.80,1.70
22-September-2011,106.00,107.40,104.00,104.80,105.704770902220122815,2117,104,223777.00,3.40,-1.20
23-September-2011,103.20,106.35,103.20,104.65,104.905757546362842705,113399,232,11896208.00,3.15,1.45
26-September-2011,105.40,105.70,103.05,105.00,104.866904073002448252,22465,185,2355835.00,2.65,-0.40
27-September-2011,105.85,107.50,105.85,106.70,106.387108792846497764,2684,80,285543.00,1.65,0.85
28-September-2011,107.90,108.20,106.70,107.15,107.710809281267685342,5301,164,570975.00,1.50,-0.75
29-September-2011,107.05,111.00,106.15,110.00,109.144656969419310502,8731,281,952942.00,4.85,2.95
30-September-2011,108.00,111.30,107.30,109.95,110.053608478663152582,17833,247,1962586.00,4.00,1.95
3-October-2011,109.95,109.95,104.50,105.35,106.484628842789302674,4001,209,426045.00,5.45,-4.60
4-October-2011,105.00,105.00,104.30,104.95,104.752061248527679623,1698,49,177869.00,0.70,-0.05
5-October-2011,105.90,106.00,103.00,104.80,104.418291990153380041,5281,220,551433.00,3.00,-1.10
7-October-2011,105.60,105.60,102.10,103.55,104.032978954220004339,4609,187,479488.00,3.50,-2.05
10-October-2011,104.00,105.20,102.65,104.00,104.008105604446503010,4318,294,449107.00,2.55,0.00
11-October-2011,106.30,106.30,103.80,104.70,104.927986093866401787,4027,120,422545.00,2.50,-1.60
12-October-2011,105.00,105.40,103.10,104.75,104.100000000000000000,2670,85,277947.00,2.30,-0.25
13-October-2011,106.00,106.00,103.50,104.00,104.606206806624070934,7669,135,802225.00,2.50,-2.00
14-October-2011,103.50,104.95,101.05,102.60,102.853873946206342834,2491,190,256209.00,3.90,-0.90
17-October-2011,105.00,106.85,102.00,103.00,103.980968564146134239,5885,283,611928.00,4.85,-2.00
18-October-2011,104.40,105.90,99.30,100.40,102.454322417025030323,36276,899,3716633.00,6.60,-4.00
19-October-2011,102.15,109.00,101.20,106.15,104.648350690661902479,22949,736,2401575.00,7.80,4.00
20-October-2011,106.00,108.00,104.00,105.15,105.622262773722627737,9864,179,1041858.00,4.00,-0.85
