Date,Open,High,Low,Close,    Volume,SwingPoint
15-06-2011,652.00,658.50,645.30,647.00,     87986,SPH
16-06-2011,646.00,656.30,642.40,648.55,     66875,
17-06-2011,653.70,653.70,637.10,639.15,     86684,
20-06-2011,639.00,641.00,626.10,630.95,    120865,SPL
21-06-2011,631.00,648.40,631.00,642.15,    128902,
22-06-2011,639.40,645.95,635.25,643.55,     83868,
23-06-2011,642.00,646.00,636.05,638.50,     51180,
24-06-2011,642.00,669.40,641.20,666.95,    493429,
27-06-2011,661.00,682.60,661.00,674.20,    240033,
28-06-2011,680.00,690.70,674.80,688.90,    170815,
29-06-2011,691.00,699.30,691.00,695.70,    142258,
30-06-2011,697.00,707.00,695.00,703.85,    187168,
01-07-2011,703.85,712.45,700.00,701.75,     91221,
04-07-2011,709.00,709.00,695.00,699.50,     90324,
05-07-2011,703.00,703.00,690.25,700.25,     75732,
06-07-2011,700.00,712.20,695.35,708.85,    112765,
07-07-2011,712.00,724.40,712.00,722.70,    169231,
08-07-2011,724.00,732.00,710.10,711.95,    286154,SPH
11-07-2011,710.30,713.90,702.50,707.50,    258622,
12-07-2011,700.00,707.70,686.70,690.50,     86084,
13-07-2011,692.90,698.00,685.15,695.50,    113191,SPL
14-07-2011,692.00,710.00,687.20,702.55,    118248,
15-07-2011,707.00,708.70,691.10,693.45,     88825,
18-07-2011,697.00,701.85,690.00,700.30,    394624,
19-07-2011,702.00,707.20,695.05,702.70,    117732,
20-07-2011,707.00,709.00,692.95,695.45,     58793,
21-07-2011,694.05,701.00,692.00,696.65,     33199,
22-07-2011,705.90,712.10,699.55,706.05,    135758,
25-07-2011,706.00,708.90,696.10,707.00,    139346,
26-07-2011,708.00,713.85,687.30,694.10,     87314,SPH
27-07-2011,694.00,705.40,687.00,703.30,    134658,
28-07-2011,699.00,699.00,685.00,688.00,     40278,
29-07-2011,688.00,692.45,676.15,688.50,     79519,
01-08-2011,697.95,706.50,691.10,695.20,    104203,
02-08-2011,691.00,692.30,683.20,684.70,     52529,
03-08-2011,680.00,684.25,676.60,679.80,    128661,
04-08-2011,685.20,695.40,674.00,676.30,     59036,SPH
05-08-2011,664.00,673.85,660.00,666.60,    155334,
08-08-2011,658.00,667.05,644.25,647.55,    194049,
09-08-2011,629.00,664.50,624.50,660.60,    183256,SPL
10-08-2011,674.00,674.00,660.00,666.35,    192847,
11-08-2011,666.00,686.85,663.55,681.95,    152641,
12-08-2011,690.00,690.00,663.25,670.00,    102869,
16-08-2011,672.00,679.65,644.00,646.55,     92680,SPH
17-08-2011,650.00,670.00,645.45,659.90,     98907,
18-08-2011,660.00,668.00,636.90,640.45,    107247,
19-08-2011,635.00,644.35,628.00,638.80,    147975,
22-08-2011,640.80,648.40,638.10,643.00,     64191,
23-08-2011,648.00,650.00,632.05,645.25,    177875,
24-08-2011,640.00,657.85,640.00,645.95,    172573,
25-08-2011,650.00,650.00,624.50,628.85,    117723,
26-08-2011,632.00,638.45,612.40,621.40,    322583,SPL
29-08-2011,633.00,650.00,627.05,645.50,    112053,
30-08-2011,650.00,665.60,650.00,662.90,    110795,
