Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,2419.95,2586.00,2419.95,2468.70,2517.064084831719686491,6507,1349,16378536.00,166.05,48.75
7-June-2011,2585.00,2600.00,2451.00,2501.65,2494.094647288195675292,2821,342,7035841.00,149.00,-83.35
8-June-2011,2500.00,2520.00,2480.00,2487.80,2491.699751861042183622,403,97,1004155.00,40.00,-12.20
9-June-2011,2431.50,2521.90,2431.50,2497.40,2494.552721088435374149,588,145,1466797.00,90.40,65.90
10-June-2011,2500.05,2515.00,2480.15,2485.20,2485.257575757575757575,198,53,492081.00,34.85,-14.85
13-June-2011,2410.60,2539.00,2410.60,2514.85,2502.474869451697127937,3064,527,7667583.00,128.40,104.25
14-June-2011,2520.00,2625.00,2517.95,2553.10,2581.487695157449060598,3779,701,9755442.00,107.05,33.10
15-June-2011,2528.00,2595.00,2528.00,2553.40,2568.950062421972534332,801,166,2057729.00,67.00,25.40
16-June-2011,2586.00,2586.00,2530.00,2539.75,2540.753443526170798898,726,172,1844587.00,56.00,-46.25
17-June-2011,2540.00,2591.10,2503.00,2515.75,2529.932454695222405271,607,168,1535669.00,88.10,-24.25
20-June-2011,2515.00,2569.95,2451.00,2478.30,2481.565693430656934306,274,101,679949.00,118.95,-36.70
21-June-2011,2504.00,2528.95,2428.00,2451.80,2474.035598705501618122,309,87,764477.00,100.95,-52.20
22-June-2011,2456.05,2470.00,2407.00,2413.65,2430.738562091503267973,153,64,371903.00,63.00,-42.40
23-June-2011,2473.95,2473.95,2376.05,2395.90,2411.509333333333333333,375,120,904316.00,97.90,-78.05
24-June-2011,2420.00,2437.95,2397.00,2404.70,2409.589015151515151515,528,91,1272263.00,40.95,-15.30
27-June-2011,2420.00,2515.00,2386.15,2434.30,2449.012326656394453004,649,164,1589409.00,128.85,14.30
28-June-2011,2460.00,2484.00,2417.00,2427.65,2432.680000000000000000,175,64,425719.00,67.00,-32.35
29-June-2011,2454.00,2480.00,2423.00,2429.35,2444.539568345323741007,139,58,339791.00,57.00,-24.65
30-June-2011,2450.00,2619.00,2432.00,2546.30,2524.171530977982590885,1953,375,4929707.00,187.00,96.30
1-July-2011,2550.00,2587.50,2544.05,2557.55,2558.944237918215613382,269,98,688356.00,43.45,7.55
4-July-2011,2590.00,2600.00,2545.00,2575.15,2588.108771929824561403,285,101,737611.00,55.00,-14.85
5-July-2011,2575.00,2575.00,2535.00,2558.80,2559.283720930232558139,645,35,1650738.00,40.00,-16.20
6-July-2011,2565.00,2599.85,2551.05,2589.00,2587.099003735990037359,1606,114,4154881.00,48.80,24.00
7-July-2011,2599.00,2750.00,2575.00,2715.10,2684.893698281349458943,6284,961,16871872.00,175.00,116.10
8-July-2011,2744.00,2798.90,2707.00,2782.10,2758.838952219257821974,4123,637,11374693.00,91.90,38.10
11-July-2011,2799.00,2839.95,2720.00,2781.75,2794.528552456839309428,1506,332,4208560.00,119.95,-17.25
12-July-2011,2760.00,2929.80,2701.10,2839.05,2793.902099671135846192,3953,521,11044295.00,228.70,79.05
13-July-2011,2886.00,2886.00,2800.10,2828.75,2843.251396648044692737,716,159,2035768.00,85.90,-57.25
14-July-2011,2840.00,2880.00,2760.00,2849.60,2832.424098671726755218,1054,234,2985375.00,120.00,9.60
15-July-2011,2893.95,2893.95,2762.20,2784.40,2802.258883248730964467,197,73,552045.00,131.75,-109.55
18-July-2011,2784.00,2798.00,2727.00,2739.70,2771.265909090909090909,440,101,1219357.00,71.00,-44.30
19-July-2011,2754.90,2778.00,2722.55,2746.35,2751.894372294372294372,1155,149,3178438.00,55.45,-8.55
20-July-2011,2755.00,2785.00,2725.00,2754.90,2759.881838074398249452,914,159,2522532.00,60.00,-0.10
21-July-2011,2711.50,2823.00,2666.00,2778.30,2742.689899586532782043,1693,404,4643374.00,157.00,66.80
22-July-2011,2752.05,2894.00,2740.10,2864.15,2832.867900715187210769,2377,490,6733727.00,153.90,112.10
25-July-2011,2888.00,2890.00,2790.05,2828.40,2825.088348271446862996,781,174,2206394.00,99.95,-59.60
26-July-2011,2820.00,2890.00,2800.00,2803.60,2847.524861878453038674,724,151,2061608.00,90.00,-16.40
27-July-2011,2800.00,2839.95,2785.00,2798.90,2801.092558983666061705,551,73,1543402.00,54.95,-1.10
28-July-2011,2737.10,2805.00,2737.10,2793.00,2791.343416370106761565,562,82,1568735.00,67.90,55.90
29-July-2011,2827.95,2827.95,2771.00,2773.60,2781.323333333333333333,300,76,834397.00,56.95,-54.35
1-August-2011,2774.00,2850.00,2727.20,2789.95,2781.699774266365688487,443,126,1232293.00,122.80,15.95
2-August-2011,2765.30,2790.00,2725.00,2748.70,2752.537619699042407660,731,91,2012105.00,65.00,-16.60
3-August-2011,2711.00,2798.95,2670.00,2677.25,2690.590909090909090909,264,86,710316.00,128.95,-33.75
4-August-2011,2656.05,2730.00,2630.00,2648.85,2660.503533568904593639,566,121,1505845.00,100.00,-7.20
5-August-2011,2575.10,2629.95,2520.00,2573.15,2555.741885625965996908,647,180,1653565.00,109.95,-1.95
8-August-2011,2524.00,2524.00,2461.00,2477.90,2489.055825242718446601,412,126,1025491.00,63.00,-46.10
9-August-2011,2405.80,2512.00,2405.70,2453.15,2459.237089201877934272,426,97,1047635.00,106.30,47.35
10-August-2011,2544.80,2550.00,2465.00,2549.25,2548.932124743714254882,18534,100,47241908.00,85.00,4.45
11-August-2011,2500.00,2649.50,2485.15,2576.00,2554.341147719044170890,11048,607,28220361.00,164.35,76.00
12-August-2011,2620.00,2625.00,2550.00,2577.45,2584.971153846153846153,104,43,268837.00,75.00,-42.55
16-August-2011,2609.95,2609.95,2490.05,2511.80,2537.096969696969696969,165,54,418621.00,119.90,-98.15
17-August-2011,2542.50,2542.50,2470.10,2488.90,2487.389830508474576271,59,26,146756.00,72.40,-53.60
18-August-2011,2501.00,2501.00,2460.00,2462.35,2464.633333333333333333,180,27,443634.00,41.00,-38.65
19-August-2011,2444.00,2464.95,2388.00,2404.10,2406.320481927710843373,415,71,998623.00,76.95,-39.90
22-August-2011,2450.00,2470.00,2401.00,2456.85,2420.529850746268656716,134,29,324351.00,69.00,6.85
23-August-2011,2420.05,2590.00,2420.05,2533.80,2517.286008230452674897,486,112,1223401.00,169.95,113.75
24-August-2011,2545.00,2594.00,2499.95,2544.80,2539.813880126182965299,317,112,805121.00,94.05,-0.20
25-August-2011,2510.00,2590.00,2505.00,2529.55,2541.569482288828337874,367,66,932756.00,85.00,19.55
26-August-2011,2501.10,2554.00,2425.00,2471.60,2485.429577464788732394,142,35,352931.00,129.00,-29.50
29-August-2011,2570.95,2570.95,2482.00,2535.50,2501.606648199445983379,361,90,903080.00,88.95,-35.45
30-August-2011,2576.00,2620.00,2485.00,2553.85,2577.176933158584534731,763,193,1966386.00,135.00,-22.15
2-September-2011,2589.00,2620.00,2532.00,2564.80,2587.485436893203883495,103,42,266511.00,88.00,-24.20
5-September-2011,2569.95,2607.95,2513.00,2577.30,2557.677664974619289340,394,81,1007725.00,94.95,7.35
6-September-2011,2527.10,2599.00,2520.00,2563.50,2575.304225352112676056,355,47,914233.00,79.00,36.40
7-September-2011,2594.95,2628.00,2555.00,2588.20,2599.450943396226415094,530,83,1377709.00,73.00,-6.75
8-September-2011,2570.00,2750.00,2566.00,2695.50,2693.051434223541048466,1011,246,2722675.00,184.00,125.50
9-September-2011,2680.00,2739.00,2606.00,2620.85,2640.208633093525179856,278,72,733978.00,133.00,-59.15
12-September-2011,2650.00,2650.00,2533.55,2598.50,2574.992125984251968503,127,37,327024.00,116.45,-51.50
13-September-2011,2615.95,2625.00,2540.00,2577.75,2584.567282321899736147,379,53,979551.00,85.00,-38.20
14-September-2011,2597.85,2597.85,2538.00,2550.10,2562.502890173410404624,173,22,443313.00,59.85,-47.75
15-September-2011,2570.00,2640.00,2525.00,2567.25,2556.183486238532110091,327,54,835872.00,115.00,-2.75
16-September-2011,2598.95,2598.95,2530.00,2535.40,2544.125874125874125874,143,63,363810.00,68.95,-63.55
19-September-2011,2532.00,2770.00,2530.00,2627.80,2680.266103953798311861,2251,689,6033279.00,240.00,95.80
20-September-2011,2645.00,2749.80,2632.00,2645.45,2673.592995169082125603,828,156,2213735.00,117.80,0.45
21-September-2011,2710.90,2710.90,2590.05,2658.25,2655.293023255813953488,215,83,570888.00,120.85,-52.65
22-September-2011,2615.10,2615.10,2548.00,2556.75,2566.614035087719298245,399,92,1024079.00,67.10,-58.35
23-September-2011,2515.05,2559.95,2495.00,2521.75,2515.105646630236794171,549,94,1380793.00,64.95,6.70
26-September-2011,2599.00,2599.90,2453.00,2500.60,2498.526143790849673202,306,63,764549.00,146.90,-98.40
27-September-2011,2550.00,2589.95,2501.00,2519.85,2540.193211488250652741,383,88,972894.00,88.95,-30.15
28-September-2011,2550.00,2550.00,2520.15,2528.60,2530.403361344537815126,119,35,301118.00,29.85,-21.40
29-September-2011,2524.85,2540.00,2500.00,2513.30,2513.714285714285714285,105,26,263940.00,40.00,-11.55
30-September-2011,2545.00,2690.00,2500.00,2649.10,2622.476340694006309148,951,215,2493975.00,190.00,104.10
3-October-2011,2624.00,2675.00,2528.00,2544.00,2555.496000000000000000,250,48,638874.00,147.00,-80.00
4-October-2011,2490.20,2579.00,2490.20,2554.05,2551.075208913649025069,359,52,915836.00,88.80,63.85
5-October-2011,2599.95,2599.95,2549.95,2549.95,2551.270194986072423398,359,23,915906.00,50.00,-50.00
7-October-2011,2520.15,2674.00,2511.00,2581.20,2570.568000000000000000,875,177,2249247.00,163.00,61.05
10-October-2011,2599.00,2670.00,2535.00,2613.55,2602.855696202531645569,790,166,2056256.00,135.00,14.55
11-October-2011,2615.00,2674.95,2532.55,2545.35,2576.272613065326633165,796,167,2050713.00,142.40,-69.65
12-October-2011,2545.00,2620.00,2545.00,2588.00,2599.415605095541401273,628,71,1632433.00,75.00,43.00
13-October-2011,2587.00,2621.00,2562.05,2595.70,2598.198780487804878048,820,87,2130523.00,58.95,8.70
14-October-2011,2639.95,2639.95,2576.05,2599.90,2599.296187683284457478,341,67,886360.00,63.90,-40.05
17-October-2011,2555.05,2624.95,2555.00,2595.80,2600.497326203208556149,187,46,486293.00,69.95,40.75
18-October-2011,2599.00,2600.00,2526.00,2557.90,2564.223776223776223776,143,40,366684.00,74.00,-41.10
19-October-2011,2500.00,2500.00,2380.00,2408.45,2409.133923778851315083,3726,412,8976433.00,120.00,-91.55
20-October-2011,2475.00,2475.00,2391.00,2408.55,2406.795180722891566265,166,50,399528.00,84.00,-66.45
21-October-2011,2414.35,2415.00,2355.00,2371.10,2383.128698224852071005,676,85,1610995.00,60.00,-43.25
24-October-2011,2405.00,2405.00,2269.30,2292.00,2307.007831968672125311,2809,464,6480385.00,135.70,-113.00
25-October-2011,2281.00,2400.00,2255.00,2323.75,2314.179487179487179487,1053,258,2436831.00,145.00,42.75
26-October-2011,2370.00,2371.00,2331.00,2349.85,2351.748387096774193548,155,27,364521.00,40.00,-20.15
28-October-2011,2282.00,2388.95,2282.00,2346.65,2341.760563380281690140,284,80,665060.00,106.95,64.65
31-October-2011,2349.00,2349.85,2283.05,2303.70,2306.644444444444444444,540,150,1245588.00,66.80,-45.30
1-November-2011,2201.05,2318.90,2201.05,2273.40,2278.994818652849740932,386,114,879692.00,117.85,72.35
2-November-2011,2275.00,2289.90,2250.00,2253.50,2261.194602272727272727,704,151,1591881.00,39.90,-21.50
3-November-2011,2255.00,2258.95,2210.05,2232.95,2237.811111111111111111,360,126,805612.00,48.90,-22.05
4-November-2011,2257.00,2329.95,2235.00,2314.85,2301.640837104072398190,1768,548,4069301.00,94.95,57.85
8-November-2011,2354.90,2357.95,2310.00,2334.00,2332.391752577319587628,873,332,2036178.00,47.95,-20.90
9-November-2011,2349.00,2350.00,2260.00,2264.90,2306.679723502304147465,434,119,1001099.00,90.00,-84.10
11-November-2011,2264.00,2323.25,2264.00,2286.80,2292.362445414847161572,229,88,524951.00,59.25,22.80
14-November-2011,2287.00,2294.95,2251.00,2256.05,2272.576923076923076923,156,63,354522.00,43.95,-30.95
15-November-2011,2235.00,2269.70,2099.90,2122.90,2176.563540753724802804,1141,338,2483459.00,169.80,-112.10
16-November-2011,2100.00,2175.00,2091.00,2110.25,2114.506578947368421052,304,118,642810.00,84.00,10.25
17-November-2011,2081.05,2110.00,2071.00,2082.30,2088.118604651162790697,430,104,897891.00,39.00,1.25
18-November-2011,2050.05,2109.95,2041.60,2053.60,2061.009049773755656108,663,119,1366449.00,68.35,3.55
21-November-2011,2090.00,2090.00,2011.00,2028.10,2042.054229934924078091,461,81,941387.00,79.00,-61.90
22-November-2011,2040.00,2047.50,1961.00,1987.00,1993.289605734767025089,1395,372,2780639.00,86.50,-53.00
23-November-2011,1975.00,1979.00,1903.00,1933.80,1941.107241063244729605,1091,242,2117748.00,76.00,-41.20
24-November-2011,1902.05,2000.00,1889.00,1958.55,1932.995391705069124423,1085,262,2097300.00,111.00,56.50
25-November-2011,1862.00,1985.00,1862.00,1924.15,1946.885714285714285714,245,131,476987.00,123.00,62.15
28-November-2011,1910.00,1985.00,1892.05,1911.10,1939.966178128523111612,887,141,1720750.00,92.95,1.10
29-November-2011,1905.00,2060.00,1905.00,1989.15,1975.092478421701602959,811,233,1601800.00,155.00,84.15
30-November-2011,1910.10,2000.00,1888.00,1976.70,1957.725590955806783144,973,186,1904867.00,112.00,66.60
1-December-2011,2003.00,2030.00,1965.10,1970.05,1991.124567474048442906,289,64,575435.00,64.90,-32.95
2-December-2011,1995.00,2055.00,1937.00,1988.85,1988.312649164677804295,419,109,833103.00,118.00,-6.15
5-December-2011,1981.15,2013.00,1940.25,1956.65,1968.995391705069124423,217,92,427272.00,72.75,-24.50
7-December-2011,1972.00,2032.95,1955.05,1967.90,1982.490099009900990099,202,48,400463.00,77.90,-4.10
8-December-2011,1962.00,1963.00,1918.00,1928.80,1945.666666666666666666,96,62,186784.00,45.00,-33.20
9-December-2011,1929.30,1936.70,1880.00,1887.55,1900.857526881720430107,372,166,707119.00,56.70,-41.75
12-December-2011,1885.05,1887.05,1803.00,1809.00,1848.648351648351648351,819,219,1514043.00,84.05,-76.05
13-December-2011,1860.00,1860.00,1741.25,1751.60,1773.267256637168141592,1130,234,2003792.00,118.75,-108.40
14-December-2011,1809.00,1839.90,1717.00,1719.30,1751.817109144542772861,678,150,1187732.00,122.90,-89.70
15-December-2011,1703.05,1734.65,1620.00,1703.30,1670.568181818181818181,1320,202,2205150.00,114.65,0.25
16-December-2011,1676.00,1750.00,1676.00,1689.90,1712.729198184568835098,1322,190,2264228.00,74.00,13.90
19-December-2011,1662.00,1709.00,1650.00,1701.60,1681.377551020408163265,98,44,164775.00,59.00,39.60
20-December-2011,1725.00,1788.95,1705.10,1735.25,1744.623036649214659685,1910,214,3332230.00,83.85,10.25
21-December-2011,1750.00,1760.00,1693.05,1715.20,1741.271570014144271570,707,93,1231079.00,66.95,-34.80
22-December-2011,1745.95,1750.00,1710.15,1749.80,1748.043209876543209876,486,45,849549.00,39.85,3.85
23-December-2011,1750.00,1760.00,1714.50,1731.30,1744.412591951536131544,4622,436,8062675.00,45.50,-18.70
26-December-2011,1730.00,1750.00,1730.00,1749.60,1748.691823899371069182,477,32,834126.00,20.00,19.60
27-December-2011,1730.00,1750.00,1725.00,1740.10,1740.687150837988826815,179,24,311583.00,25.00,10.10
28-December-2011,1741.00,1750.00,1722.00,1733.55,1733.051724137931034482,116,26,201034.00,28.00,-7.45
29-December-2011,1707.50,1747.45,1707.50,1731.85,1732.166666666666666666,246,49,426113.00,39.95,24.35
30-December-2011,1750.00,1770.00,1705.00,1718.65,1722.762402088772845953,383,26,659818.00,65.00,-31.35
2-January-2012,1725.00,1729.95,1687.00,1704.10,1709.618504435994930291,789,97,1348889.00,42.95,-20.90
3-January-2012,1728.95,1744.00,1720.00,1735.75,1726.451882845188284518,239,33,412622.00,24.00,6.80
4-January-2012,1740.00,1750.00,1722.00,1737.30,1748.144329896907216494,194,23,339140.00,28.00,-2.70
5-January-2012,1749.90,1749.90,1705.00,1714.20,1719.644067796610169491,59,26,101459.00,44.90,-35.70
6-January-2012,1705.00,1742.95,1701.00,1708.35,1705.156194669091257118,20897,212,35632649.00,41.95,3.35
7-January-2012,1719.90,1730.00,1705.00,1727.35,1721.423076923076923076,26,11,44757.00,25.00,7.45
9-January-2012,1750.00,1750.00,1725.05,1740.50,1745.563424947145877378,946,172,1651303.00,24.95,-9.50
10-January-2012,1750.00,1920.00,1750.00,1800.65,1822.132890961262553802,5576,690,10160213.00,170.00,50.65
11-January-2012,1782.00,1844.85,1782.00,1803.95,1818.183401639344262295,976,173,1774547.00,62.85,21.95
