Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,905.00,905.00,858.30,863.60,      1759,
20110607,846.10,870.00,846.10,849.55,      3676,
20110608,841.00,878.00,840.00,872.40,      3032,SPL
20110609,861.00,890.00,861.00,872.50,      1338,
20110610,870.00,888.00,868.00,873.00,       912,
20110613,860.05,917.00,860.05,880.15,      5052,SPH
20110614,865.05,890.00,865.05,869.90,      1510,
20110615,880.00,885.00,870.15,872.20,      1750,
20110616,875.00,875.00,867.00,868.45,       548,
20110617,866.10,873.95,855.00,867.65,      1503,
20110620,868.00,869.00,824.25,833.00,      1297,
20110621,833.05,846.00,828.00,837.10,       705,
20110622,837.00,837.00,825.00,826.75,      1742,
20110623,827.00,830.00,812.00,824.25,      2362,SPL
20110624,835.00,865.00,835.00,843.90,      4813,
20110627,867.45,867.45,820.40,826.10,     15257,
20110628,848.85,849.00,825.00,841.60,      2682,
20110629,849.90,883.00,838.05,865.90,      2191,
20110630,855.00,877.95,846.00,852.85,      1650,
20110701,855.00,872.85,850.15,864.50,       317,
20110704,860.00,891.00,850.75,887.40,      7243,SPL
20110705,887.00,890.00,872.05,877.35,      1352,
20110706,882.95,895.00,875.00,890.80,      5040,
20110707,890.00,899.00,886.10,892.80,      1031,SPH
20110708,885.10,893.95,870.00,885.00,       581,
20110711,880.00,894.95,880.00,888.90,       720,
20110712,890.00,894.00,875.00,875.80,      2247,
20110713,881.00,889.50,857.00,874.00,      1257,SPL
20110714,880.00,880.00,861.40,865.55,      1551,
20110715,877.35,895.00,864.15,887.95,      1722,
20110718,894.00,900.05,885.20,893.75,      3523,
20110719,905.00,905.00,875.00,897.05,      1318,
20110720,899.95,899.95,882.05,889.80,      2323,
20110721,871.20,895.25,871.20,880.60,       416,
20110722,888.00,960.00,885.05,918.55,     18148,SPH
20110725,929.40,940.00,881.25,918.75,     18023,
20110726,920.00,938.00,899.05,902.80,      3064,
20110727,909.95,910.00,883.30,892.60,      1795,
20110728,894.00,906.00,878.00,896.75,      1357,
20110729,913.95,914.00,880.00,880.60,      1857,
20110801,917.00,917.00,870.10,872.35,      1220,
20110802,865.05,880.05,862.05,869.10,      5950,
20110803,865.00,889.00,861.10,865.60,       806,SPH
20110804,872.00,879.00,863.00,864.05,       700,
20110805,856.00,856.00,823.25,832.15,      2047,
20110808,820.00,853.85,775.00,830.95,      4177,SPL
20110809,808.00,845.00,795.60,805.95,      3128,
20110810,830.00,842.00,816.30,833.10,      6458,
20110811,833.00,833.00,802.00,821.45,      1382,
20110812,827.00,834.90,791.05,810.30,      1592,
20110816,815.00,825.00,810.00,810.05,       523,
20110817,806.55,835.00,790.00,814.65,      1652,SPH
20110818,809.00,811.10,787.00,798.50,      2631,
20110819,784.25,794.90,742.25,750.35,    163630,
20110822,760.00,770.00,722.15,754.65,    108212,SPL
20110823,750.00,778.00,750.00,753.65,      2780,
20110824,754.75,783.90,754.75,778.20,      5673,
20110825,762.00,800.00,762.00,793.90,      1356,
20110826,783.95,790.20,775.05,779.50,      2211,
20110829,799.95,803.00,780.25,792.55,      1239,
20110830,804.95,819.00,793.00,811.50,      2554,
20110902,818.95,850.00,810.00,831.55,     44606,SPL
20110905,835.00,845.95,825.05,830.20,     21675,
20110906,826.05,850.00,810.00,832.60,     32035,
20110907,840.00,859.00,835.25,845.55,     19178,SPH
20110908,845.00,845.00,825.00,829.65,       654,
20110909,848.20,848.20,831.50,835.90,      1283,
