Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
20-July-2011,205.70,210.00,171.10,176.95,181.935067030529103346,13219648,140036,2405117545.00,38.90,-28.75
21-July-2011,178.00,185.40,171.50,181.30,179.900398005504154189,9242837,87174,1662790055.00,13.90,3.30
22-July-2011,182.80,185.50,178.80,182.55,182.886582664114944955,2519606,29626,460802131.00,6.70,-0.25
25-July-2011,182.50,185.35,179.60,181.65,181.768375994995891234,815330,10576,148201210.00,5.75,-0.85
26-July-2011,182.00,182.40,174.20,174.95,177.100017002930271082,1005709,11850,178111081.00,8.20,-7.05
27-July-2011,175.05,178.30,174.10,176.30,176.397590100428279151,738537,9060,130276147.00,4.20,1.25
28-July-2011,175.00,175.80,169.10,172.70,172.694864671329742202,1149313,11128,198480453.00,6.70,-2.30
29-July-2011,172.70,173.90,167.05,169.20,170.938019871665965887,437608,5877,74803845.00,6.85,-3.50
1-August-2011,171.00,171.00,159.00,160.35,162.455975898790418929,929082,11914,150934923.00,12.00,-10.65
2-August-2011,169.00,169.00,156.70,164.40,163.190927731780949423,1381617,16277,225467360.00,12.30,-4.60
3-August-2011,161.40,165.00,160.65,163.05,162.619643572438655798,2636272,8198,428709613.00,4.35,1.65
4-August-2011,164.00,164.45,159.10,159.90,161.047646505942118404,520269,6620,83788098.00,5.35,-4.10
5-August-2011,150.00,158.70,148.00,157.50,155.606773681384379686,862249,7819,134171785.00,10.70,7.50
8-August-2011,155.00,157.15,151.15,155.95,155.208226404639598533,700233,6043,108681922.00,6.00,0.95
9-August-2011,152.50,153.00,146.10,147.75,148.545449105855239938,2139195,11542,317767682.00,6.90,-4.75
10-August-2011,150.00,151.80,148.00,148.55,149.935806512068336276,405524,4645,60802568.00,3.80,-1.45
11-August-2011,148.00,149.25,143.50,144.80,145.227385150884356365,673993,7027,97882241.00,5.75,-3.20
12-August-2011,147.00,149.00,144.65,145.50,146.522073376304986596,279409,4279,40939586.00,4.35,-1.50
16-August-2011,148.00,148.00,142.00,143.55,145.639665712364813421,224597,3557,32710232.00,6.00,-4.45
17-August-2011,144.00,144.45,137.50,141.40,140.253931931277469034,412965,5701,57919965.00,6.95,-2.60
18-August-2011,142.45,142.45,137.50,139.05,139.284088644253149463,577003,3067,80367337.00,4.95,-3.40
19-August-2011,138.00,138.00,133.75,136.55,135.718944226925499000,292184,4042,39654904.00,4.25,-1.45
22-August-2011,136.10,143.10,133.90,142.55,139.556097268567546506,400376,5676,55874912.00,9.20,6.45
23-August-2011,143.00,146.50,140.30,144.60,143.760296804030971815,362394,4979,52097869.00,6.20,1.60
24-August-2011,146.00,147.45,143.50,144.60,145.354962844668821718,388235,3664,56431884.00,3.95,-1.40
25-August-2011,145.80,146.00,136.00,137.25,140.091998312249723352,251222,4414,35194192.00,10.00,-8.55
26-August-2011,137.00,140.60,135.75,136.45,138.265915426917215825,196209,3606,27129017.00,4.85,-0.55
29-August-2011,137.80,143.50,137.55,142.90,141.380510566969442997,220735,3679,31207627.00,5.95,5.10
30-August-2011,144.40,151.45,143.10,150.55,148.904123911248648119,500229,7961,74486161.00,8.35,6.15
2-September-2011,151.00,153.25,148.55,150.10,151.069487712381891029,233365,3626,35254331.00,4.70,-0.90
5-September-2011,148.00,151.70,146.50,149.60,149.495061000660914920,167949,2225,25107546.00,5.20,1.60
6-September-2011,149.60,151.35,147.40,150.15,149.474397713352388730,171430,2602,25624396.00,3.95,0.55
7-September-2011,151.00,153.00,150.00,150.55,151.294872592832335403,240999,3300,36461913.00,3.00,-0.45
8-September-2011,153.00,156.00,151.75,152.05,153.421413982029366644,570375,5577,87507739.00,4.25,-0.95
9-September-2011,154.00,155.20,150.35,150.85,153.332647332393911207,359086,4852,55059607.00,4.85,-3.15
12-September-2011,149.40,149.40,145.30,146.40,146.942483449920934844,186555,2362,27412855.00,4.10,-3.00
13-September-2011,147.90,152.20,147.00,150.05,150.255820129237850756,214643,3031,32251360.00,5.20,2.15
14-September-2011,150.70,158.70,149.60,156.85,154.396329273701088254,586260,8221,90516392.00,9.10,6.15
15-September-2011,159.00,161.15,157.00,159.50,159.176593270771343556,546125,6629,86930317.00,4.15,0.50
16-September-2011,161.00,163.45,158.20,161.10,161.455656775314339307,375311,5512,60596084.00,5.25,0.10
19-September-2011,160.00,161.90,158.65,159.20,159.891388097435691640,99676,1791,15937334.00,3.25,-0.80
20-September-2011,158.00,161.85,156.30,159.00,159.571689201225083175,348058,5079,55540203.00,5.55,1.00
21-September-2011,160.00,162.30,158.50,159.65,160.477314090303135686,172530,2884,27687151.00,3.80,-0.35
22-September-2011,158.00,158.00,150.10,150.65,153.926232080592118846,1210838,3514,186379731.00,7.90,-7.35
23-September-2011,149.10,151.70,146.20,150.05,149.056475872105187299,215083,3403,32059514.00,5.50,0.95
26-September-2011,151.00,151.55,144.00,150.60,148.544326583092253294,139995,2383,20795463.00,7.55,-0.40
27-September-2011,152.95,156.00,152.30,154.80,154.151481967582714001,124193,1775,19144535.00,3.70,1.85
28-September-2011,155.00,155.85,150.00,151.45,152.201374176255077077,85433,1457,13003020.00,5.85,-3.55
29-September-2011,150.10,155.75,149.50,152.50,152.479882797514002915,208528,2814,31796325.00,6.25,2.40
30-September-2011,152.10,155.90,150.50,152.00,153.634248860639160461,107297,2179,16484494.00,5.40,-0.10
3-October-2011,149.30,150.40,145.05,146.35,148.070904911686426324,82660,1859,12239541.00,5.35,-2.95
4-October-2011,145.95,148.20,143.25,144.60,145.731205976274742630,86743,1779,12641162.00,4.95,-1.35
5-October-2011,146.00,150.30,144.50,147.70,147.267338394146451649,123959,2203,18255112.00,5.80,1.70
7-October-2011,153.90,153.90,148.00,149.15,149.406180506699659558,247326,1349,36952033.00,5.90,-4.75
10-October-2011,149.50,154.20,149.50,152.55,152.347419114681887272,128948,2295,19644895.00,4.70,3.05
11-October-2011,154.80,161.45,154.00,156.40,158.275033404731049949,446793,6413,70716177.00,7.45,1.60
12-October-2011,157.90,165.35,157.90,164.75,161.944726270251453500,356209,5575,57686169.00,7.45,6.85
13-October-2011,166.00,169.80,162.80,163.80,166.935353675643393841,360005,5829,60097562.00,7.00,-2.20
14-October-2011,164.90,165.60,159.60,160.30,161.248544225196633089,217410,3517,35057046.00,6.00,-4.60
17-October-2011,162.20,168.65,160.60,168.05,165.462578521710732741,312334,4357,51679589.00,8.05,5.85
18-October-2011,166.00,168.00,161.50,163.95,164.042954774299976433,233385,3531,38285165.00,6.50,-2.05
19-October-2011,165.00,175.00,142.00,143.90,150.937792407721672473,3058871,42023,461699236.00,33.00,-21.10
20-October-2011,142.90,143.40,135.00,142.50,139.177105345186505718,2993179,34917,416581989.00,8.40,-0.40
